team;position;grade
palmeiras;1;727,2632010247379
flamengo;2;716,8265099022692
atletico-mg;3;695,0882473626197
internacional;4;688,4527805466853
corinthians;5;672,4006476616248
sao paulo;6;667,9193997491562
gremio;7;662,1505155886043
fluminense;8;659,0699823768153
santos;9;648,1165398979078
athletico-pr;10;642,922290003005
cruzeiro;11;632,5879205276095
bragantino;12;613,9411200278595
fortaleza;13;613,0706603970659
vasco;14;603,373258690924
barueri;15;601,2493662827042
cuiaba;16;595,9071071267899
america-mg;17;593,8419329740544
portuguesa;18;591,5460106583181
ceara;19;591,3835569349868
botafogo-rj;20;590,4430417641987
bahia;21;590,1588890254395
goias;22;587,6405992737218
santo andre;23;586,7724239789079
sao caetano;24;586,4908926181363
atletico-go;25;581,494761044322
brasiliense;26;579,1315317569272
ipatinga;27;577,8952202830609
ponte preta;28;577,1482534887627
csa;29;576,4544010171613
joinville;30;575,592867788608
sport;31;575,5024750164539
figueirense;32;573,5483998030328
gremio prudente;33;573,3621034666371
vitoria;34;570,4911848373582
guarani;35;568,6164210783177
coritiba;36;566,7569700267112
paysandu;37;564,3726866784983
parana;38;558,4341546988333
criciuma;39;557,6775127108735
juventude;40;552,3245959057608
america-rn;41;548,2491808724717
santa cruz;42;545,4559779100631
chapecoense;43;542,9763095385083
nautico;44;539,7847187222983
avai;45;536,113378961197
